From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
RPS2	P15880	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2 RPS4	FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules (PubMed:23636399). The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain (PubMed:23636399). The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:23636399). Plays a role in the assembly and function of the 40S ribosomal subunit (By similarity). Mutations in this protein affects the control of translational fidelity (By similarity). Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity). {ECO:0000250|UniProtKB:P25443, ECO:0000269|PubMed:23636399}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Q5S007; Q9H0A0; Q16342; O60678; P46781
RPS2	E9PM36	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	E9PMM9	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	E9PPT0	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	E9PQD7	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	H0YE27	Ribosomal protein S2	RPS2			
RPS2	H0YEN5	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	H3BNG3	Ribosomal protein S2	RPS2			
RPS2	I3L404	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	Q3KQT6	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	Q6IPX5	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	Q8J014	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	rps2		small ribosomal subunit [GO:0015935]	
RPS2	Q8N5L9	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2		small ribosomal subunit [GO:0015935]	
RPS2	Q8NI61	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	OK/KNS-cl.7 RPS2 hCG_1990006		small ribosomal subunit [GO:0015935]	
RPS2	Q9BSW5	RPS2 protein	RPS2		ribosome [GO:0005840]	
RPS21	P63220	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; rough endoplasmic reticulum [GO:0005791]; small ribosomal subunit [GO:0015935]; synapse [GO:0045202]	Q5TD97; Q9H8W4; P08865; P36508
RPS21	Q6FGH5	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21 hCG_41768	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; rough endoplasmic reticulum [GO:0005791]; synapse [GO:0045202]	
RPS21	Q8WVC2	40S ribosomal protein S21	RPS21	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]	Q96AP4
RPS21	Q9BYK1	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21 hCG_41768	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosolic ribosome [GO:0022626]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]	
RPS21	Q9BYK2	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21 hCG_41768	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosolic ribosome [GO:0022626]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]	
RPS24	P62847	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	RPS24	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for processing of pre-rRNA and maturation of 40S ribosomal subunits (PubMed:18230666). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:18230666, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; small-subunit processome [GO:0032040]	
RPS24	A0A2R8Y849	40S ribosomal protein S24	RPS24		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribosomal subunit [GO:0044391]	
RPS24	A0A2R8Y8A0	40S ribosomal protein S24	RPS24		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribosomal subunit [GO:0044391]	
RPS24	A0A2R8YD14	40S ribosomal protein S24	RPS24 hCG_22610		ribosomal subunit [GO:0044391]	
RPS24	E7ETK0	40S ribosomal protein S24	RPS24		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribosomal subunit [GO:0044391]	
RPS25	P62851	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). {ECO:0000269|PubMed:23636399}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]	Q6NT76; Q6ZUT1; Q96MF2; Q9NVV9; Q9H2G4; O43829
RPS25	E9PK60	Ribosomal protein S25	RPS25			
RPS25	E9PQK3	Ribosomal protein S25	RPS25			
RPS27	P42677	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)	RPS27 MPS1	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:8706699). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for proper rRNA processing and maturation of 18S rRNAs (PubMed:25424902). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25424902, ECO:0000269|PubMed:34516797, ECO:0000269|PubMed:8706699}.	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]	P54132; Q5S007; Q00987; P61289
RPS27	A0A2R8Y731	Ribosomal protein S27	RPS27			
RPS28	P62857	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000269|PubMed:34516797}.	cytoplasm [GO:0005737]; cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	O95273; O75031; Q07627; P60409; P60410; P0C7H8; Q7Z3S9
RPS28	B2R4R9	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28 hCG_23961 hCG_26477		cytosolic small ribosomal subunit [GO:0022627]; synapse [GO:0045202]	
RPS29	P62273	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688}.	cytoplasm [GO:0005737]; cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]	
RPS29	A0A087WTT6	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS29	A0A2R8Y6P7	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosolic ribosome [GO:0022626]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]	
RPS29	A0A2R8Y851	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29 hCG_20148	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00045746}.	cytosolic ribosome [GO:0022626]; rough endoplasmic reticulum [GO:0005791]; small ribosomal subunit [GO:0015935]	
RPS3	P23396	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3 OK/SW-cl.26	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:8706699). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:8706699). Has endonuclease activity and plays a role in repair of damaged DNA (PubMed:7775413). Cleaves phosphodiester bonds of DNAs containing altered bases with broad specificity and cleaves supercoiled DNA more efficiently than relaxed DNA (PubMed:15707971). Displays high binding affinity for 7,8-dihydro-8-oxoguanine (8-oxoG), a common DNA lesion caused by reactive oxygen species (ROS) (PubMed:14706345). Has also been shown to bind with similar affinity to intact and damaged DNA (PubMed:18610840). Stimulates the N-glycosylase activity of the base excision protein OGG1 (PubMed:15518571). Enhances the uracil excision activity of UNG1 (PubMed:18973764). Also stimulates the cleavage of the phosphodiester backbone by APEX1 (PubMed:18973764). When located in the mitochondrion, reduces cellular ROS levels and mitochondrial DNA damage (PubMed:23911537). Has also been shown to negatively regulate DNA repair in cells exposed to hydrogen peroxide (PubMed:17049931). Plays a role in regulating transcription as part of the NF-kappa-B p65-p50 complex where it binds to the RELA/p65 subunit, enhances binding of the complex to DNA and promotes transcription of target genes (PubMed:18045535). Represses its own translation by binding to its cognate mRNA (PubMed:20217897). Binds to and protects TP53/p53 from MDM2-mediated ubiquitination (PubMed:19656744). Involved in spindle formation and chromosome movement during mitosis by regulating microtubule polymerization (PubMed:23131551). Involved in induction of apoptosis through its role in activation of CASP8 (PubMed:14988002). Induces neuronal apoptosis by interacting with the E2F1 transcription factor and acting synergistically with it to up-regulate pro-apoptotic proteins BCL2L11/BIM and HRK/Dp5 (PubMed:20605787). Interacts with TRADD following exposure to UV radiation and induces apoptosis by caspase-dependent JNK activation (PubMed:22510408). {ECO:0000269|PubMed:14706345, ECO:0000269|PubMed:14988002, ECO:0000269|PubMed:15518571, ECO:0000269|PubMed:15707971, ECO:0000269|PubMed:17049931, ECO:0000269|PubMed:18045535, ECO:0000269|PubMed:18610840, ECO:0000269|PubMed:18973764, ECO:0000269|PubMed:19656744, ECO:0000269|PubMed:20217897, ECO:0000269|PubMed:20605787, ECO:0000269|PubMed:22510408, ECO:0000269|PubMed:23131551, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:23911537, ECO:0000269|PubMed:7775413, ECO:0000269|PubMed:8706699}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]	P68400; P42858; O14920; Q5S007; Q96GA3; Q00987; Q15843; P19838; P25963; Q08752; Q04206; P46783; P04637; P63104
RPS3	A7E2S3	40S ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	E9PJH4	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]	
RPS3	E9PJN9	Ribosomal protein S3	RPS3		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	E9PK82	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]	
RPS3	E9PL09	Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)	RPS3		cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; mitochondrial inner membrane [GO:0005743]; small ribosomal subunit [GO:0015935]; spindle [GO:0005819]	
RPS3	E9PPU1	Ribosomal protein S3	RPS3		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrial inner membrane [GO:0005743]	
RPS3	E9PQ96	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]	
RPS3	E9PQX2	Ribosomal protein S3	RPS3			
RPS3	E9PSF4	40S ribosomal protein S3	RPS3		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	F2Z2S8	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	H0YCJ7	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	H0YES8	Ribosomal protein S3	RPS3			
RPS3	H0YEU2	40S ribosomal protein S3	RPS3		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	H0YF32	Ribosomal protein S3	RPS3		mitochondrial inner membrane [GO:0005743]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3	Q9NQS8	40S ribosomal protein S3	RPS3		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	P61247	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). May play a role during erythropoiesis through regulation of transcription factor DDIT3 (By similarity). {ECO:0000255|HAMAP-Rule:MF_03122, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; small-subunit processome [GO:0032040]	P07900; P62906; P62263
RPS3A	A8K4W0	Small ribosomal subunit protein eS1	RPS3A	FUNCTION: May play a role during erythropoiesis through regulation of transcription factor DDIT3. {ECO:0000256|HAMAP-Rule:MF_03122}.	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]	
RPS3A	B7Z3M5	Small ribosomal subunit protein eS1	RPS3A	FUNCTION: May play a role during erythropoiesis through regulation of transcription factor DDIT3. {ECO:0000256|HAMAP-Rule:MF_03122}.	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]	
RPS3A	D6R9B6	Ribosomal protein S3A	RPS3A hCG_2026261		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RAS7	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RAT0	Small ribosomal subunit protein eS1	RPS3A	FUNCTION: May play a role during erythropoiesis through regulation of transcription factor DDIT3. {ECO:0000256|HAMAP-Rule:MF_03122}.	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]	
RPS3A	D6RB09	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RED7	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RG13	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RGE0	Ribosomal protein S3A	RPS3A		cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	D6RI02	Ribosomal protein S3A	RPS3A		cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	E9PFI5	Small ribosomal subunit protein eS1	RPS3A	FUNCTION: May play a role during erythropoiesis through regulation of transcription factor DDIT3. {ECO:0000256|HAMAP-Rule:MF_03122}.	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]	
RPS3A	H0Y8L7	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	H0Y9Y4	Ribosomal protein S3A	RPS3A		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS3A	Q6NXR8	Small ribosomal subunit protein eS1	RPS3A	FUNCTION: May play a role during erythropoiesis through regulation of transcription factor DDIT3. {ECO:0000256|HAMAP-Rule:MF_03122}.	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]	Q96IK1-2; O60506-4
RPS6	P62753	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6 OK/SW-cl.2	FUNCTION: Component of the 40S small ribosomal subunit (PubMed:23636399, PubMed:8706699). Plays an important role in controlling cell growth and proliferation through the selective translation of particular classes of mRNA (PubMed:17220279). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:17220279, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797, ECO:0000269|PubMed:8706699}.	cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]; small ribosomal subunit [GO:0015935]; small-subunit processome [GO:0032040]	Q09161; P06748; Q96RG2; P0DTC9
RPS6	A2A3R5	40S ribosomal protein S6	RPS6 hCG_1741512		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS6	A2A3R6	40S ribosomal protein S6	RPS6 hCG_1741512		cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; perinuclear region of cytoplasm [GO:0048471]	
RPS6	A2A3R7	Small ribosomal subunit protein eS6 (40S ribosomal protein S6)	RPS6		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS6	Q96DV6	40S ribosomal protein S6	RPS6		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS7	P62081	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for rRNA maturation (PubMed:19061985). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:19061985, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	Q00987; Q15843; O43829
RPS7	A0A2R8Y623	40S ribosomal protein S7	RPS7		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
RPS7	B5MCP9	40S ribosomal protein S7	RPS7		cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	
SAP18	O00422	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	FUNCTION: Component of the SIN3-repressing complex. Enhances the ability of SIN3-HDAC1-mediated transcriptional repression. When tethered to the promoter, it can direct the formation of a repressive complex to core histone proteins. Auxiliary component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junction on mRNAs. The EJC is a dynamic structure consisting of core proteins and several peripheral nuclear and cytoplasmic associated factors that join the complex only transiently either during EJC assembly or during subsequent mRNA metabolism. Component of the ASAP and PSAP complexes which bind RNA in a sequence-independent manner and are proposed to be recruited to the EJC prior to or during the splicing process and to regulate specific excision of introns in specific transcription subsets. The ASAP complex can inhibit mRNA processing during in vitro splicing reactions. The ASAP complex promotes apoptosis and is disassembled after induction of apoptosis. Involved in the splicing modulation of BCL2L1/Bcl-X (and probably other apoptotic genes); specifically inhibits the formation of proapoptotic isoforms such as Bcl-X(S); the activity is different from the established EJC assembly and function. {ECO:0000269|PubMed:12665594, ECO:0000269|PubMed:20966198, ECO:0000269|PubMed:22203037, ECO:0000269|PubMed:9150135}.	ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Q9H4E7; Q13547; Q0VD86; Q96HA8; Q9H307; Q14498; Q14498-3
SAP18	H7BZW6	18 kDa Sin3-associated polypeptide	SAP18		cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	
