"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"RPS16","RPS16",-0.3609908753,1.67471847,3,99,"(-0.4,-0.3]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein uS9 (40S ribosomal protein S16)"
"RPS18","RPS18",-0.3222622126,1.907934704,4,82,"(-0.4,-0.3]","FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399}.","Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)"
"RPS19","RPS19",-0.9100202421,1.800854492,4,219,"(-1,-0.9]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for pre-rRNA processing and maturation of 40S ribosomal subunits (PubMed:16990592). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:16990592, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein eS19 (40S ribosomal protein S19)"
"RPS2","RPS2",-0.4373703334,2.04106977,3,139,"(-0.5,-0.4]","FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules (PubMed:23636399). The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain (PubMed:23636399). The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:23636399). Plays a role in the assembly and function of the 40S ribosomal subunit (By similarity). Mutations in this protein affects the control of translational fidelity (By similarity). Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity). {ECO:0000250|UniProtKB:P25443, ECO:0000269|PubMed:23636399}.","Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)"
"RPS21","RPS21",-0.6103089717,2.545311213,4,191,"(-0.7,-0.6]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688}.","Small ribosomal subunit protein eS21 (40S ribosomal protein S21)"
"RPS24","RPS24",-0.2662085295,1.416219785,3,61,"(-0.3,-0.2]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for processing of pre-rRNA and maturation of 40S ribosomal subunits (PubMed:18230666). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:18230666, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein eS24 (40S ribosomal protein S24)"
"RPS25","RPS25",-0.5907979657,1.699877477,3,186,"(-0.6,-0.5]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). {ECO:0000269|PubMed:23636399}.","Small ribosomal subunit protein eS25 (40S ribosomal protein S25)"
"RPS27;RPS27L","RPS27",-0.2912833707,1.744676266,4,71,"(-0.3,-0.2]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:8706699). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for proper rRNA processing and maturation of 18S rRNAs (PubMed:25424902). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25424902, ECO:0000269|PubMed:34516797, ECO:0000269|PubMed:8706699}.","Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)"
"RPS28","RPS28",-0.4459940857,2.781295026,4,143,"(-0.5,-0.4]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein eS28 (40S ribosomal protein S28)"
"RPS29","RPS29",-0.5961864342,2.483624759,3,187,"(-0.6,-0.5]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:25901680, PubMed:25957688). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688}.","Small ribosomal subunit protein uS14 (40S ribosomal protein S29)"
"RPS3","RPS3",-0.3435812924,1.741378444,3,92,"(-0.4,-0.3]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399, PubMed:8706699). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:8706699). Has endonuclease activity and plays a role in repair of damaged DNA (PubMed:7775413). Cleaves phosphodiester bonds of DNAs containing altered bases with broad specificity and cleaves supercoiled DNA more efficiently than relaxed DNA (PubMed:15707971). Displays high binding affinity for 7,8-dihydro-8-oxoguanine (8-oxoG), a common DNA lesion caused by reactive oxygen species (ROS) (PubMed:14706345). Has also been shown to bind with similar affinity to intact and damaged DNA (PubMed:18610840). Stimulates the N-glycosylase activity of the base excision protein OGG1 (PubMed:15518571). Enhances the uracil excision activity of UNG1 (PubMed:18973764). Also stimulates the cleavage of the phosphodiester backbone by APEX1 (PubMed:18973764). When located in the mitochondrion, reduces cellular ROS levels and mitochondrial DNA damage (PubMed:23911537). Has also been shown to negatively regulate DNA repair in cells exposed to hydrogen peroxide (PubMed:17049931). Plays a role in regulating transcription as part of the NF-kappa-B p65-p50 complex where it binds to the RELA/p65 subunit, enhances binding of the complex to DNA and promotes transcription of target genes (PubMed:18045535). Represses its own translation by binding to its cognate mRNA (PubMed:20217897). Binds to and protects TP53/p53 from MDM2-mediated ubiquitination (PubMed:19656744). Involved in spindle formation and chromosome movement during mitosis by regulating microtubule polymerization (PubMed:23131551). Involved in induction of apoptosis through its role in activation of CASP8 (PubMed:14988002). Induces neuronal apoptosis by interacting with the E2F1 transcription factor and acting synergistically with it to up-regulate pro-apoptotic proteins BCL2L11/BIM and HRK/Dp5 (PubMed:20605787). Interacts with TRADD following exposure to UV radiation and induces apoptosis by caspase-dependent JNK activation (PubMed:22510408). {ECO:0000269|PubMed:14706345, ECO:0000269|PubMed:14988002, ECO:0000269|PubMed:15518571, ECO:0000269|PubMed:15707971, ECO:0000269|PubMed:17049931, ECO:0000269|PubMed:18045535, ECO:0000269|PubMed:18610840, ECO:0000269|PubMed:18973764, ECO:0000269|PubMed:19656744, ECO:0000269|PubMed:20217897, ECO:0000269|PubMed:20605787, ECO:0000269|PubMed:22510408, ECO:0000269|PubMed:23131551, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:23911537, ECO:0000269|PubMed:7775413, ECO:0000269|PubMed:8706699}.","Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)"
"RPS3A","RPS3A",-0.3652574685,1.945318226,3,103,"(-0.4,-0.3]","FUNCTION: Component of the small ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). May play a role during erythropoiesis through regulation of transcription factor DDIT3 (By similarity). {ECO:0000255|HAMAP-Rule:MF_03122, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)"
"RPS6","RPS6",-0.3235340085,1.714806785,3,84,"(-0.4,-0.3]","FUNCTION: Component of the 40S small ribosomal subunit (PubMed:23636399, PubMed:8706699). Plays an important role in controlling cell growth and proliferation through the selective translation of particular classes of mRNA (PubMed:17220279). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:17220279, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797, ECO:0000269|PubMed:8706699}.","Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)"
"RPS7","RPS7",-0.7360192885,2.205056975,4,208,"(-0.8,-0.7]","FUNCTION: Component of the small ribosomal subunit (PubMed:23636399). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399). Required for rRNA maturation (PubMed:19061985). Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome (PubMed:34516797). {ECO:0000269|PubMed:19061985, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:34516797}.","Small ribosomal subunit protein eS7 (40S ribosomal protein S7)"
"SAP18","SAP18",-0.2992979735,1.999057976,3,72,"(-0.3,-0.2]","FUNCTION: Component of the SIN3-repressing complex. Enhances the ability of SIN3-HDAC1-mediated transcriptional repression. When tethered to the promoter, it can direct the formation of a repressive complex to core histone proteins. Auxiliary component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junction on mRNAs. The EJC is a dynamic structure consisting of core proteins and several peripheral nuclear and cytoplasmic associated factors that join the complex only transiently either during EJC assembly or during subsequent mRNA metabolism. Component of the ASAP and PSAP complexes which bind RNA in a sequence-independent manner and are proposed to be recruited to the EJC prior to or during the splicing process and to regulate specific excision of introns in specific transcription subsets. The ASAP complex can inhibit mRNA processing during in vitro splicing reactions. The ASAP complex promotes apoptosis and is disassembled after induction of apoptosis. Involved in the splicing modulation of BCL2L1/Bcl-X (and probably other apoptotic genes); specifically inhibits the formation of proapoptotic isoforms such as Bcl-X(S); the activity is different from the established EJC assembly and function. {ECO:0000269|PubMed:12665594, ECO:0000269|PubMed:20966198, ECO:0000269|PubMed:22203037, ECO:0000269|PubMed:9150135}.","Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)"
"SHMT2","SHMT2",-0.3569066326,2.631821692,4,97,"(-0.4,-0.3]","FUNCTION: Catalyzes the cleavage of serine to glycine accompanied with the production of 5,10-methylenetetrahydrofolate, an essential intermediate for purine biosynthesis (PubMed:24075985, PubMed:25619277, PubMed:29364879, PubMed:33015733). Serine provides the major source of folate one-carbon in cells by catalyzing the transfer of one carbon from serine to tetrahydrofolate (PubMed:25619277). Contributes to the de novo mitochondrial thymidylate biosynthesis pathway via its role in glycine and tetrahydrofolate metabolism: thymidylate biosynthesis is required to prevent uracil accumulation in mtDNA (PubMed:21876188). Also required for mitochondrial translation by producing 5,10-methylenetetrahydrofolate; 5,10-methylenetetrahydrofolate providing methyl donors to produce the taurinomethyluridine base at the wobble position of some mitochondrial tRNAs (PubMed:29364879, PubMed:29452640). Associates with mitochondrial DNA (PubMed:18063578). In addition to its role in mitochondria, also plays a role in the deubiquitination of target proteins as component of the BRISC complex: required for IFNAR1 deubiquitination by the BRISC complex (PubMed:24075985). {ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:21876188, ECO:0000269|PubMed:24075985, ECO:0000269|PubMed:25619277, ECO:0000269|PubMed:29364879, ECO:0000269|PubMed:29452640, ECO:0000269|PubMed:33015733}.","Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"
"SLC25A11","SLC25A11",-0.7189668516,3.21669988,3,206,"(-0.8,-0.7]","FUNCTION: Catalyzes the transport of 2-oxoglutarate (alpha-oxoglutarate) across the inner mitochondrial membrane in an electroneutral exchange for malate. Can also exchange 2-oxoglutarate for other dicarboxylic acids such as malonate, succinate, maleate and oxaloacetate, although with lower affinity. Contributes to several metabolic processes, including the malate-aspartate shuttle, the oxoglutarate/isocitrate shuttle, in gluconeogenesis from lactate, and in nitrogen metabolism (By similarity). Maintains mitochondrial fusion and fission events, and the organization and morphology of cristae (PubMed:21448454). Involved in the regulation of apoptosis (By similarity). Helps protect from cytotoxic-induced apoptosis by modulating glutathione levels in mitochondria (By similarity). {ECO:0000250|UniProtKB:P22292, ECO:0000250|UniProtKB:P97700, ECO:0000250|UniProtKB:Q9CR62, ECO:0000269|PubMed:21448454}.","Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (alpha-oxoglutarate carrier) (Solute carrier family 25 member 11) (SLC25A11)"
"SLC25A5","SLC25A5",-0.6029396405,2.026432116,3,188,"(-0.7,-0.6]","FUNCTION: ADP:ATP antiporter that mediates import of ADP into the mitochondrial matrix for ATP synthesis, and export of ATP out to fuel the cell (By similarity). Cycles between the cytoplasmic-open state (c-state) and the matrix-open state (m-state): operates by the alternating access mechanism with a single substrate-binding site intermittently exposed to either the cytosolic (c-state) or matrix (m-state) side of the inner mitochondrial membrane (By similarity). In addition to its ADP:ATP antiporter activity, also involved in mitochondrial uncoupling and mitochondrial permeability transition pore (mPTP) activity (By similarity). Plays a role in mitochondrial uncoupling by acting as a proton transporter: proton transport uncouples the proton flows via the electron transport chain and ATP synthase to reduce the efficiency of ATP production and cause mitochondrial thermogenesis (By similarity). Proton transporter activity is inhibited by ADP:ATP antiporter activity, suggesting that SLC25A5/ANT2 acts as a master regulator of mitochondrial energy output by maintaining a delicate balance between ATP production (ADP:ATP antiporter activity) and thermogenesis (proton transporter activity) (By similarity). Proton transporter activity requires free fatty acids as cofactor, but does not transport it (By similarity). Probably mediates mitochondrial uncoupling in tissues that do not express UCP1 (By similarity). Also plays a key role in mPTP opening, a non-specific pore that enables free passage of the mitochondrial membranes to solutes of up to 1.5 kDa, and which contributes to cell death (PubMed:31883789). It is however unclear if SLC25A5/ANT2 constitutes a pore-forming component of mPTP or regulates it (By similarity). Acts as a regulator of mitophagy independently of ADP:ATP antiporter activity: promotes mitophagy via interaction with TIMM44, leading to inhibit the presequence translocase TIMM23, thereby promoting stabilization of PINK1 (By similarity). As part of the mitotic spindle-associated MMXD complex it may play a role in chromosome segregation (PubMed:20797633). {ECO:0000250|UniProtKB:G2QNH0, ECO:0000250|UniProtKB:P51881, ECO:0000269|PubMed:20797633, ECO:0000269|PubMed:31883789}.","ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]"
"SMN1;SMN2","SMN1",0.5201219196,2.144404808,3,15,"(0.5,0.6]","FUNCTION: The SMN complex catalyzes the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, and thereby plays an important role in the splicing of cellular pre-mRNAs (PubMed:18984161, PubMed:9845364). Most spliceosomal snRNPs contain a common set of Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG that assemble in a heptameric protein ring on the Sm site of the small nuclear RNA to form the core snRNP (Sm core) (PubMed:18984161). In the cytosol, the Sm proteins SNRPD1, SNRPD2, SNRPE, SNRPF and SNRPG are trapped in an inactive 6S pICln-Sm complex by the chaperone CLNS1A that controls the assembly of the core snRNP (PubMed:18984161). To assemble core snRNPs, the SMN complex accepts the trapped 5Sm proteins from CLNS1A forming an intermediate (PubMed:18984161). Within the SMN complex, SMN1 acts as a structural backbone and together with GEMIN2 it gathers the Sm complex subunits (PubMed:17178713, PubMed:21816274, PubMed:22101937). Binding of snRNA inside 5Sm ultimately triggers eviction of the SMN complex, thereby allowing binding of SNRPD3 and SNRPB to complete assembly of the core snRNP (PubMed:31799625). Ensures the correct splicing of U12 intron-containing genes that may be important for normal motor and proprioceptive neurons development (PubMed:23063131). Also required for resolving RNA-DNA hybrids created by RNA polymerase II, that form R-loop in transcription terminal regions, an important step in proper transcription termination (PubMed:26700805). May also play a role in the metabolism of small nucleolar ribonucleoprotein (snoRNPs). {ECO:0000269|PubMed:17178713, ECO:0000269|PubMed:18984161, ECO:0000269|PubMed:21816274, ECO:0000269|PubMed:22101937, ECO:0000269|PubMed:23063131, ECO:0000269|PubMed:26700805, ECO:0000269|PubMed:31799625, ECO:0000269|PubMed:9845364}.","Survival motor neuron protein (Component of gems 1) (Gemin-1)"
"SNRPD2","SNRPD2",-0.4364994135,1.732944955,3,137,"(-0.5,-0.4]","FUNCTION: Plays a role in pre-mRNA splicing as a core component of the spliceosomal U1, U2, U4 and U5 small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome (PubMed:11991638, PubMed:18984161, PubMed:19325628, PubMed:23333303, PubMed:25555158, PubMed:26912367, PubMed:28076346, PubMed:28502770, PubMed:28781166, PubMed:32494006). Component of both the pre-catalytic spliceosome B complex and activated spliceosome C complexes (PubMed:11991638, PubMed:28076346, PubMed:28502770, PubMed:28781166). As a component of the minor spliceosome, involved in the splicing of U12-type introns in pre-mRNAs (PubMed:15146077). {ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:15146077, ECO:0000269|PubMed:18984161, ECO:0000269|PubMed:19325628, ECO:0000269|PubMed:23333303, ECO:0000269|PubMed:25555158, ECO:0000269|PubMed:26912367, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166, ECO:0000269|PubMed:32494006}.","Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)"
"SPC24","SPC24",-0.3887646012,2.301157189,3,116,"(-0.4,-0.3]","FUNCTION: Acts as a component of the essential kinetochore-associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity (PubMed:14738735). Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore (PubMed:14738735). The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules (PubMed:23085020). {ECO:0000269|PubMed:14738735, ECO:0000269|PubMed:23085020}.","Kinetochore protein Spc24 (hSpc24)"
"SRM","SRM",-0.383009548,2.651536766,3,115,"(-0.4,-0.3]","FUNCTION: Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM). Has a strong preference for putrescine as substrate, and has very low activity towards 1,3-diaminopropane. Has extremely low activity towards spermidine. {ECO:0000269|PubMed:17585781}.","Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)"
"SSBP1","SSBP1",-0.7216311975,1.935155459,3,207,"(-0.8,-0.7]","FUNCTION: Binds preferentially and cooperatively to pyrimidine rich single-stranded DNA (ss-DNA) (PubMed:21953457, PubMed:23290262, PubMed:31550240). In vitro, required to maintain the copy number of mitochondrial DNA (mtDNA) and plays a crucial role during mtDNA replication by stimulating the activity of the replisome components POLG and TWNK at the replication fork (PubMed:12975372, PubMed:15167897, PubMed:21953457, PubMed:26446790, PubMed:31550240). Promotes the activity of the gamma complex polymerase POLG, largely by organizing the template DNA and eliminating secondary structures to favor ss-DNA conformations that facilitate POLG activity (PubMed:21953457, PubMed:26446790, PubMed:31550240). In addition it is able to promote the 5'-3' unwinding activity of the mtDNA helicase TWNK (PubMed:12975372). May also function in mtDNA repair (PubMed:23290262). {ECO:0000269|PubMed:12975372, ECO:0000269|PubMed:15167897, ECO:0000269|PubMed:21953457, ECO:0000269|PubMed:23290262, ECO:0000269|PubMed:26446790, ECO:0000269|PubMed:31550240}.","Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)"
"STMN1","STMN1",-0.4931581542,1.667013521,3,162,"(-0.5,-0.4]","FUNCTION: Involved in the regulation of the microtubule (MT) filament system by destabilizing microtubules. Prevents assembly and promotes disassembly of microtubules. Phosphorylation at Ser-16 may be required for axon formation during neurogenesis. Involved in the control of the learned and innate fear (By similarity). {ECO:0000250}.","Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)"
"STRAP","STRAP",-0.3978188121,1.858563043,4,119,"(-0.4,-0.3]","FUNCTION: The SMN complex catalyzes the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, and thereby plays an important role in the splicing of cellular pre-mRNAs. Most spliceosomal snRNPs contain a common set of Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG that assemble in a heptameric protein ring on the Sm site of the small nuclear RNA to form the core snRNP (Sm core). In the cytosol, the Sm proteins SNRPD1, SNRPD2, SNRPE, SNRPF and SNRPG are trapped in an inactive 6S pICln-Sm complex by the chaperone CLNS1A that controls the assembly of the core snRNP. To assemble core snRNPs, the SMN complex accepts the trapped 5Sm proteins from CLNS1A forming an intermediate. Binding of snRNA inside 5Sm triggers eviction of the SMN complex, thereby allowing binding of SNRPD3 and SNRPB to complete assembly of the core snRNP. STRAP plays a role in the cellular distribution of the SMN complex. Negatively regulates TGF-beta signaling but positively regulates the PDPK1 kinase activity by enhancing its autophosphorylation and by significantly reducing the association of PDPK1 with 14-3-3 protein. {ECO:0000269|PubMed:16251192, ECO:0000269|PubMed:18984161}.","Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD)"
"SUCLG1","SUCLG1",-0.6710416476,2.649500219,3,200,"(-0.7,-0.6]","FUNCTION: Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and specificity for either ATP or GTP is provided by different beta subunits. {ECO:0000255|HAMAP-Rule:MF_03222, ECO:0000269|PubMed:34492704}.","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)"
"SUMO2","SUMO2",-0.4062724354,1.684656518,3,122,"(-0.5,-0.4]","FUNCTION: Ubiquitin-like protein that can be covalently attached to proteins as a monomer or as a lysine-linked polymer. Covalent attachment via an isopeptide bond to its substrates requires prior activation by the E1 complex SAE1-SAE2 and linkage to the E2 enzyme UBE2I, and can be promoted by an E3 ligase such as PIAS1-4, RANBP2, CBX4 or ZNF451 (PubMed:26524494). This post-translational modification on lysine residues of proteins plays a crucial role in a number of cellular processes such as nuclear transport, DNA replication and repair, mitosis and signal transduction. Polymeric SUMO2 chains are also susceptible to polyubiquitination which functions as a signal for proteasomal degradation of modified proteins (PubMed:18408734, PubMed:18538659, PubMed:21965678, PubMed:9556629). Plays a role in the regulation of sumoylation status of SETX (PubMed:24105744). {ECO:0000269|PubMed:18408734, ECO:0000269|PubMed:18538659, ECO:0000269|PubMed:21965678, ECO:0000269|PubMed:24105744, ECO:0000269|PubMed:26524494, ECO:0000269|PubMed:9556629}.","Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)"
"TAF15","TAF15",-0.4458938067,2.527324689,3,142,"(-0.5,-0.4]","FUNCTION: RNA and ssDNA-binding protein that may play specific roles during transcription initiation at distinct promoters. Can enter the preinitiation complex together with the RNA polymerase II (Pol II). {ECO:0000269|PubMed:19124016}.","TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56)"
"TARS2","TARS2",-0.3471999069,1.947456091,3,94,"(-0.4,-0.3]","FUNCTION: Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction: threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). Also edits incorrectly charged tRNA(Thr) via its editing domain. {ECO:0000269|PubMed:26811336}.","Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase-like 1)"
"TBCA","TBCA",-0.5416948348,2.662408882,3,176,"(-0.6,-0.5]","FUNCTION: Tubulin-folding protein; involved in the early step of the tubulin folding pathway.","Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)"
